model,date,location,horizon,prediction,true_value,quantile
flu,2022-10-01,Indiana,3,34,38,0.75
flu,2022-10-01,Indiana,3,67,38,0.975
flu,2022-10-08,Indiana,4,6,46,0.025
flu,2022-10-08,Indiana,4,16,46,0.25
flu,2022-10-08,Indiana,4,24,46,0.5
flu,2022-10-08,Indiana,4,36,46,0.75
flu,2022-10-08,Indiana,4,74,46,0.975
flu,2022-09-17,Iowa,1,0,1,0.025
flu,2022-09-17,Iowa,1,1,1,0.25
flu,2022-09-17,Iowa,1,1,1,0.5
flu,2022-09-17,Iowa,1,2,1,0.75
flu,2022-09-17,Iowa,1,5,1,0.975
flu,2022-09-24,Iowa,2,0,2,0.025
flu,2022-09-24,Iowa,2,1,2,0.25
flu,2022-09-24,Iowa,2,1,2,0.5
flu,2022-09-24,Iowa,2,2,2,0.75
flu,2022-09-24,Iowa,2,5,2,0.975
flu,2022-10-01,Iowa,3,0,9,0.025
flu,2022-10-01,Iowa,3,1,9,0.25
flu,2022-10-01,Iowa,3,1,9,0.5
flu,2022-10-01,Iowa,3,3,9,0.75
flu,2022-10-01,Iowa,3,6,9,0.975
flu,2022-10-08,Iowa,4,0,6,0.025
flu,2022-10-08,Iowa,4,1,6,0.25
flu,2022-10-08,Iowa,4,2,6,0.5
flu,2022-10-08,Iowa,4,3,6,0.75
flu,2022-10-08,Iowa,4,7,6,0.975
flu,2022-09-17,Kansas,1,0,0,0.025
flu,2022-09-17,Kansas,1,1,0,0.25
flu,2022-09-17,Kansas,1,2,0,0.5
flu,2022-09-17,Kansas,1,3,0,0.75
flu,2022-09-17,Kansas,1,6,0,0.975
flu,2022-09-24,Kansas,2,0,1,0.025
flu,2022-09-24,Kansas,2,1,1,0.25
flu,2022-09-24,Kansas,2,2,1,0.5
flu,2022-09-24,Kansas,2,3,1,0.75
flu,2022-09-24,Kansas,2,7,1,0.975
flu,2022-10-01,Kansas,3,0,3,0.025
flu,2022-10-01,Kansas,3,1,3,0.25
flu,2022-10-01,Kansas,3,2,3,0.5
flu,2022-10-01,Kansas,3,3,3,0.75
flu,2022-10-01,Kansas,3,8,3,0.975
flu,2022-10-08,Kansas,4,0,7,0.025
flu,2022-10-08,Kansas,4,1,7,0.25
flu,2022-10-08,Kansas,4,2,7,0.5
flu,2022-10-08,Kansas,4,3,7,0.75
flu,2022-10-08,Kansas,4,9,7,0.975
flu,2022-09-17,Kentucky,1,4,5,0.025
flu,2022-09-17,Kentucky,1,8,5,0.25
flu,2022-09-17,Kentucky,1,11,5,0.5
flu,2022-09-17,Kentucky,1,15,5,0.75
flu,2022-09-17,Kentucky,1,23,5,0.975
flu,2022-09-24,Kentucky,2,3,10,0.025
flu,2022-09-24,Kentucky,2,8,10,0.25
flu,2022-09-24,Kentucky,2,11,10,0.5
flu,2022-09-24,Kentucky,2,15,10,0.75
flu,2022-09-24,Kentucky,2,25,10,0.975
flu,2022-10-01,Kentucky,3,3,4,0.025
flu,2022-10-01,Kentucky,3,7,4,0.25
flu,2022-10-01,Kentucky,3,11,4,0.5
flu,2022-10-01,Kentucky,3,16,4,0.75
flu,2022-10-01,Kentucky,3,28,4,0.975
flu,2022-10-08,Kentucky,4,3,7,0.025
